Country,Year,Value
Scotland (NUTS 2021),2018,34714
Scotland (NUTS 2021),2019,:
Scotland (NUTS 2021),2020,:
Scotland (NUTS 2021),2021,:
Scotland (NUTS 2021),2022,:
Serbia,2008,6049
Serbia,2009,5500
Serbia,2010,5573
Serbia,2011,4941
Serbia,2012,4774
Serbia,2013,5648
Serbia,2014,6217
Serbia,2015,5706
Serbia,2016,7020
Serbia,2017,8407
Serbia,2018,10215
Serbia,2019,11150
Serbia,2020,10772
Serbia,2021,9760
Serbia,2022,10585
Slovakia,2008,538
Slovakia,2009,613
Slovakia,2010,624
Slovakia,2011,762
Slovakia,2012,759
Slovakia,2013,1930
Slovakia,2014,1609
Slovakia,2015,1750
Slovakia,2016,1493
Slovakia,2017,1480
Slovakia,2018,1573
Slovakia,2019,1723
Slovakia,2020,1513
Slovakia,2021,1806
Slovakia,2022,1540
Slovenia,2008,1434
Slovenia,2009,2096
Slovenia,2010,1756
Slovenia,2011,1505
Slovenia,2012,1760
Slovenia,2013,1712
Slovenia,2014,1662
Slovenia,2015,1737
Slovenia,2016,1437
Slovenia,2017,1624
Slovenia,2018,1517
Slovenia,2019,1372
Slovenia,2020,1496
Slovenia,2021,1418
Slovenia,2022,1382
Spain,2008,14564
Spain,2009,14343
Spain,2010,14391
Spain,2011,15220
Spain,2012,14509
Spain,2013,14296
Spain,2014,13411
Spain,2015,12069
Spain,2016,12448
Spain,2017,12958
Spain,2018,14133
Spain,2019,16624
Spain,2020,17112
Spain,2021,18313
Spain,2022,19057
Sweden,2008,79795
Sweden,2009,82008
Sweden,2010,90070
Sweden,2011,91997
Sweden,2012,97379
Sweden,2013,99175
Sweden,2014,98219
Sweden,2015,96558
Sweden,2016,93547
Sweden,2017,102658
Sweden,2018,108685
Sweden,2019,115388
Sweden,2020,126245
Sweden,2021,120233
Sweden,2022,115875
Switzerland,2008,47590
Switzerland,2009,85742
Switzerland,2010,89173
Switzerland,2011,91211
Switzerland,2012,92862
Switzerland,2013,97289
Switzerland,2014,80986
Switzerland,2015,86128
Switzerland,2016,83268
Switzerland,2017,80074
Switzerland,2018,76308
Switzerland,2019,75757
Switzerland,2020,68600
Switzerland,2021,60887
Switzerland,2022,55304
Türkiye,2008,:
Türkiye,2009,:
Türkiye,2010,:
Türkiye,2011,:
Türkiye,2012,:
Türkiye,2013,:
Türkiye,2014,:
Türkiye,2015,:
Türkiye,2016,:
Türkiye,2017,:
Türkiye,2018,:
Türkiye,2019,:
Türkiye,2020,:
Türkiye,2021,:
Türkiye,2022,:
