Country,Year,Value
Montenegro,2012,1383
Montenegro,2013,1181
Montenegro,2014,951
Montenegro,2015,939
Montenegro,2016,847
Montenegro,2017,903
Montenegro,2018,681
Montenegro,2019,624
Montenegro,2020,439
Montenegro,2021,460
Montenegro,2022,462
Netherlands,2008,287645
Netherlands,2009,283785
Netherlands,2010,123355
Netherlands,2011,124470
Netherlands,2012,121055
Netherlands,2013,120470
Netherlands,2014,103365
Netherlands,2015,96590
Netherlands,2016,84605
Netherlands,2017,74695
Netherlands,2018,63100
Netherlands,2019,58950
Netherlands,2020,49845
Netherlands,2021,37185
Netherlands,2022,37315
North Macedonia,2008,11627
North Macedonia,2009,11500
North Macedonia,2010,13399
North Macedonia,2011,14465
North Macedonia,2012,14985
North Macedonia,2013,15109
North Macedonia,2014,13108
North Macedonia,2015,:
North Macedonia,2016,:
North Macedonia,2017,:
North Macedonia,2018,:
North Macedonia,2019,:
North Macedonia,2020,:
North Macedonia,2021,:
North Macedonia,2022,:
Northern Ireland (UK) (NUTS 2021),2008,12040
Northern Ireland (UK) (NUTS 2021),2009,12699
Northern Ireland (UK) (NUTS 2021),2010,11852
Northern Ireland (UK) (NUTS 2021),2011,11242
Northern Ireland (UK) (NUTS 2021),2012,9521
Northern Ireland (UK) (NUTS 2021),2013,9125
Northern Ireland (UK) (NUTS 2021),2014,8889
Northern Ireland (UK) (NUTS 2021),2015,9166
Northern Ireland (UK) (NUTS 2021),2016,7394
Northern Ireland (UK) (NUTS 2021),2017,6820
Northern Ireland (UK) (NUTS 2021),2018,6388
Northern Ireland (UK) (NUTS 2021),2019,:
Northern Ireland (UK) (NUTS 2021),2020,:
Northern Ireland (UK) (NUTS 2021),2021,:
Northern Ireland (UK) (NUTS 2021),2022,:
Norway,2008,22014
Norway,2009,23676
Norway,2010,21298
Norway,2011,17983
Norway,2012,17391
Norway,2013,15740
Norway,2014,14890
Norway,2015,:
Norway,2016,:
Norway,2017,:
Norway,2018,:
Norway,2019,:
Norway,2020,:
Norway,2021,:
Norway,2022,:
Poland,2008,124066
Poland,2009,135383
Poland,2010,140085
Poland,2011,135611
Poland,2012,127961
Poland,2013,118534
Poland,2014,106896
Poland,2015,94680
Poland,2016,79928
Poland,2017,67712
Poland,2018,69148
Poland,2019,71392
Poland,2020,74502
Poland,2021,73474
Poland,2022,70256
Portugal,2008,53751
Portugal,2009,49317
Portugal,2010,50650
Portugal,2011,52086
Portugal,2012,43843
Portugal,2013,38390
Portugal,2014,34612
Portugal,2015,29386
Portugal,2016,26193
Portugal,2017,22873
Portugal,2018,22832
Portugal,2019,21432
