country,year,crime_index,weighted_infractions
Estonie,2021,0.05386225592291717,71687.0
Estonie,2022,0.05045743008807568,68059.0
Finlande,2008,0.1791674218329924,951988.0
Finlande,2009,0.18102497700356499,966469.0
Finlande,2010,0.1771392218895944,950060.0
Finlande,2011,0.1834751475055454,988614.0
Finlande,2012,0.16740466470913865,906324.0
Finlande,2013,0.1612563918328684,877069.0
Finlande,2014,0.16127438701956529,880802.0
Finlande,2015,0.15753884775905092,863239.0
Finlande,2016,0.17319900285753123,951781.0
Finlande,2017,0.16598283944668815,914269.0
Finlande,2018,0.1672725624487243,922596.0
Finlande,2019,0.17656982406930158,974949.0
Finlande,2020,0.19628945827892105,1085391.0
Finlande,2021,0.17775581630592363,984948.0
Finlande,2022,0.17650095228564755,980658.0
France,2008,0.15306021326972405,9853970.0
France,2009,0.18401777543463751,11907952.0
France,2010,0.1726640276516085,11228441.0
France,2011,0.17499411165922388,11435031.0
France,2012,0.1782013680922247,11701101.0
France,2013,0.19324781296600183,12754798.0
France,2014,0.19301057226884513,12798930.0
France,2015,0.19031164325348673,12664911.0
France,2016,0.22556117051792857,15050367.0
France,2017,0.18987767420494508,12706238.0
France,2018,0.19101275391705586,12828101.0
France,2019,0.19595331222245338,13204902.0
France,2020,0.17118773856997785,11567345.0
France,2021,0.1878715377937033,12730984.0
France,2022,0.20685399167893054,14060137.0
Grèce,2008,0.06641826688070356,735771.0
Grèce,2009,0.07308767061399114,811786.0
Grèce,2010,0.0842067516857904,936492.0
Grèce,2011,0.09242803559041825,1026404.0
Grèce,2012,0.08891389967832536,982055.0
Grèce,2013,0.07953317086191958,872098.0
Grèce,2014,0.07258391689701814,790614.0
Grèce,2015,0.07751243590749479,838753.0
Grèce,2016,0.07942087075030176,855837.0
Grèce,2017,0.0787292675123079,846708.0
Grèce,2018,0.06793273232669474,729114.0
Grèce,2019,0.06992634109406616,749721.0
Grèce,2020,0.05185837884007056,554812.0
Grèce,2021,0.05146431515628372,543937.0
Grèce,2022,0.0597794036761962,623315.0
Hongrie,2008,0.1026037766975474,1029956.0
Hongrie,2009,0.09816665253201498,983890.0
Hongrie,2010,0.1197156246540633,1197159.0
Hongrie,2011,0.1191865762069098,1188496.0
Hongrie,2012,0.12174807733830681,1207785.0
Hongrie,2013,0.10501651558129206,1038937.0
Hongrie,2014,0.09138346163997085,901632.0
Hongrie,2015,0.0893514678613126,879489.0
Hongrie,2016,0.0542059051624395,531978.0
Hongrie,2017,0.04875415382521762,477204.0
Hongrie,2018,0.04031675307941312,394119.0
Hongrie,2019,0.034426378659360254,336385.0
Hongrie,2020,0.03291970204763025,320972.0
Hongrie,2021,0.032990174657985344,320331.0
Hongrie,2022,0.03386574452393061,326569.0
Irlande,2008,0.15739660865335098,706639.0
Irlande,2009,0.15605986274563846,707790.0
Irlande,2010,0.152036718050154,693311.0
Irlande,2011,0.14783113148143134,677079.0
Irlande,2012,0.1426753542153084,656240.0
Irlande,2013,0.13861191708320572,640916.0
Irlande,2014,0.1397619875733725,650975.0
Irlande,2015,0.12884656325015306,605831.0
Irlande,2016,0.11312094731496308,537928.0
Irlande,2017,0.11895628145679109,571869.0
Irlande,2018,0.11761369099520146,572463.0
Irlande,2019,0.12169226279502426,600471.0
Irlande,2020,0.0997981699296062,497532.0
Irlande,2021,0.09572626681745319,481806.0
Irlande,2022,0.10616324405081165,544317.0
Islande,2008,0.14125715941955932,44837.0
Islande,2009,0.18183730561163458,57915.0
Islande,2010,0.1650573353749988,52495.0
Islande,2011,0.13944215614361752,44484.0
Islande,2012,0.12807281208296437,41075.0
Islande,2013,0.14520453169592668,47012.0
Islande,2014,0.13643527823425558,44667.0
Islande,2015,0.12978552967670753,42935.0
Islande,2016,0.12443096956525627,41739.0
Islande,2017,0.12973500291205592,44551.0
Islande,2018,0.13183224134656002,46500.0
Islande,2019,0.12581157800439868,45363.0
Islande,2020,0.11810742148593446,43282.0
Islande,2021,0.12296520992161494,45807.0
Islande,2022,0.10738135564380384,41020.0
Italie,2008,0.13695508594553724,8056620.0
