Country,Year,Indice de criminalité,Latitude,Longitude
France,2015-01-01T00:00:00,47.31405591588157,46.564502139,2.55195527587
France,2014-01-01T00:00:00,48.00479889561424,46.564502139,2.55195527587
France,2013-01-01T00:00:00,48.07175195315618,46.564502139,2.55195527587
France,2012-01-01T00:00:00,44.326317855655766,46.564502139,2.55195527587
France,2011-01-01T00:00:00,43.52186333601501,46.564502139,2.55195527587
France,2010-01-01T00:00:00,42.94360248752858,46.564502139,2.55195527587
France,2009-01-01T00:00:00,45.774033281067936,46.564502139,2.55195527587
France,2008-01-01T00:00:00,38.03447015107373,46.564502139,2.55195527587
Grèce,2022-01-01T00:00:00,13.169296543341643,39.0683212219,22.9610379833
Grèce,2021-01-01T00:00:00,11.112543519521774,39.0683212219,22.9610379833
Grèce,2020-01-01T00:00:00,11.13058179276169,39.0683212219,22.9610379833
Grèce,2019-01-01T00:00:00,15.52817790006793,39.0683212219,22.9610379833
Grèce,2018-01-01T00:00:00,15.034764773905804,39.0683212219,22.9610379833
Grèce,2017-01-01T00:00:00,17.84787798060882,39.0683212219,22.9610379833
Grèce,2016-01-01T00:00:00,18.269280474778288,39.0683212219,22.9610379833
Grèce,2015-01-01T00:00:00,17.839511415811813,39.0683212219,22.9610379833
Grèce,2014-01-01T00:00:00,16.605227348444824,39.0683212219,22.9610379833
Grèce,2013-01-01T00:00:00,18.39432422175245,39.0683212219,22.9610379833
Grèce,2012-01-01T00:00:00,20.786197350823983,39.0683212219,22.9610379833
Grèce,2011-01-01T00:00:00,21.715221960441173,39.0683212219,22.9610379833
Grèce,2010-01-01T00:00:00,19.57683036476332,39.0683212219,22.9610379833
Grèce,2009-01-01T00:00:00,16.511020812646,39.0683212219,22.9610379833
Grèce,2008-01-01T00:00:00,14.906551820442921,39.0683212219,22.9610379833
Hongrie,2022-01-01T00:00:00,7.217412947515356,47.166502594,19.413449085
Hongrie,2021-01-01T00:00:00,6.669766801070734,47.166502594,19.413449085
Hongrie,2020-01-01T00:00:00,7.044564903878912,47.166502594,19.413449085
Hongrie,2019-01-01T00:00:00,7.547855025553428,47.166502594,19.413449085
Hongrie,2018-01-01T00:00:00,8.672254459934273,47.166502594,19.413449085
Hongrie,2017-01-01T00:00:00,11.084966699321722,47.166502594,19.413449085
Hongrie,2016-01-01T00:00:00,12.557762290075589,47.166502594,19.413449085
Hongrie,2015-01-01T00:00:00,21.339919929123017,47.166502594,19.413449085
Hongrie,2014-01-01T00:00:00,21.853602255564862,47.166502594,19.413449085
Hongrie,2013-01-01T00:00:00,25.365980481145268,47.166502594,19.413449085
Hongrie,2012-01-01T00:00:00,29.58147117302323,47.166502594,19.413449085
Hongrie,2011-01-01T00:00:00,28.8222990838209,47.166502594,19.413449085
Hongrie,2010-01-01T00:00:00,28.989241813157086,47.166502594,19.413449085
Hongrie,2009-01-01T00:00:00,23.79972089885033,47.166502594,19.413449085
Hongrie,2008-01-01T00:00:00,24.76533204959827,47.166502594,19.413449085
Irlande,2022-01-01T00:00:00,21.615768471501518,53.1763807059,-8.15057983069
Irlande,2021-01-01T00:00:00,18.176314107943504,53.1763807059,-8.15057983069
Irlande,2020-01-01T00:00:00,18.238142135632838,53.1763807059,-8.15057983069
Irlande,2019-01-01T00:00:00,24.114168224513797,53.1763807059,-8.15057983069
Irlande,2018-01-01T00:00:00,23.886795180377778,53.1763807059,-8.15057983069
