Country,Crime Type,UN_x,lat_x,lon_x,Year,Value,FIPS,ISO2,ISO3,UN_y,NAME,lat_y,lon_y
Autriche,pots-de-vin,40.0,47.5929026313,14.1401917728,2015.0,0.5685714285714286,AU,AT,AUT,40.0,Autriche,47.5929026313,14.1401917728
Belgique,Actes contre les systèmes informatiques,56.0,50.6428512328,4.6639886769,2015.0,59.00571428571429,BE,BE,BEL,56.0,Belgique,50.6428512328,4.6639886769
Belgique,Actes illicites impliquant des drogues ou des précurseurs contrôlés,56.0,50.6428512328,4.6639886769,2015.0,353.37399999999997,BE,BE,BEL,56.0,Belgique,50.6428512328,4.6639886769
Belgique,Agression sexuelle,56.0,50.6428512328,4.6639886769,2015.0,51.687999999999995,BE,BE,BEL,56.0,Belgique,50.6428512328,4.6639886769
Belgique,Attaque grave,56.0,50.6428512328,4.6639886769,2015.0,609.4406666666667,BE,BE,BEL,56.0,Belgique,50.6428512328,4.6639886769
Belgique,Blanchiment d'argent,56.0,50.6428512328,4.6639886769,2015.0,27.428571428571427,BE,BE,BEL,56.0,Belgique,50.6428512328,4.6639886769
Belgique,Corruption,56.0,50.6428512328,4.6639886769,2015.0,41.83,BE,BE,BEL,56.0,Belgique,50.6428512328,4.6639886769
Belgique,Enlèvement,56.0,50.6428512328,4.6639886769,2015.0,10.347999999999999,BE,BE,BEL,56.0,Belgique,50.6428512328,4.6639886769
Belgique,Exploitation sexuelle,56.0,50.6428512328,4.6639886769,2015.0,27.00857142857143,BE,BE,BEL,56.0,Belgique,50.6428512328,4.6639886769
Belgique,Fraude,56.0,50.6428512328,4.6639886769,2015.0,711.4528571428572,BE,BE,BEL,56.0,Belgique,50.6428512328,4.6639886769
Belgique,Homicide intentionnel,56.0,50.6428512328,4.6639886769,2015.0,1.694,BE,BE,BEL,56.0,Belgique,50.6428512328,4.6639886769
Belgique,Participation à un groupe criminel organisé,56.0,50.6428512328,4.6639886769,2015.0,2.84,BE,BE,BEL,56.0,Belgique,50.6428512328,4.6639886769
Belgique,Pédopornographie,56.0,50.6428512328,4.6639886769,2015.0,16.75,BE,BE,BEL,56.0,Belgique,50.6428512328,4.6639886769
Belgique,Tentative d'homicide volontaire,56.0,50.6428512328,4.6639886769,2015.0,8.061333333333334,BE,BE,BEL,56.0,Belgique,50.6428512328,4.6639886769
Belgique,Viol,56.0,50.6428512328,4.6639886769,2015.0,32.169333333333334,BE,BE,BEL,56.0,Belgique,50.6428512328,4.6639886769
Belgique,Violence sexuelle,56.0,50.6428512328,4.6639886769,2015.0,86.392,BE,BE,BEL,56.0,Belgique,50.6428512328,4.6639886769
Belgique,Vol,56.0,50.6428512328,4.6639886769,2015.0,1973.3659999999998,BE,BE,BEL,56.0,Belgique,50.6428512328,4.6639886769
Belgique,Vol d'un véhicule motorisé ou de pièces de celui-ci,56.0,50.6428512328,4.6639886769,2015.0,144.81866666666667,BE,BE,BEL,56.0,Belgique,50.6428512328,4.6639886769
Belgique,Vol par effraction,56.0,50.6428512328,4.6639886769,2015.0,721.5946666666666,BE,BE,BEL,56.0,Belgique,50.6428512328,4.6639886769
Belgique,Vol par effraction de résidences privées,56.0,50.6428512328,4.6639886769,2015.0,520.3539999999999,BE,BE,BEL,56.0,Belgique,50.6428512328,4.6639886769
